"","Site_ID","Longitude","Latitude","MaxAAnBase","AvgAAnBase","MinAAnBase","RaiAAnBase","D35AAnBase","MaxAAn7085","AvgAAn7085","MinAAn7085","RaiAAn7085","D35AAn7085","MaxCAn7085","AvgCAn7085","MinCAn7085","RaiCAn7085","D35CAn7085"
"1","576",138.81111,-35.4218,28.9,21.6,14.3,135,91,32.1,24.8,17.5,101,140,3.3,3.1,2.8,-30,48
"2","578",139.01295,-35.49207,28.9,21.6,14.4,134,90,32.1,24.8,17.5,98,140,3.3,3,2.7,-30,47
"3","580",138.87773,-35.54449,29,22,15.1,140,94,32.3,25.1,17.9,103,144,3.3,2.9,2.5,-30,48
"4","581",139.03799,-35.5062,29,22.1,15.1,143,94,32.3,25.1,18,107,145,3.3,3,2.6,-29,49
"5","589",139.31567,-35.32752,28.8,21.4,14,142,92,32,24.5,16.9,110,141,3.3,3,2.7,-27,47
"6","592",139.13303,-35.35364,28.8,21.8,14.8,344,89,32,24.9,17.7,260,138,3.3,3,2.7,-29,47
"7","595",139.31896,-35.75516,29.1,21.6,14.1,138,97,32.4,24.8,17.2,103,146,3.3,3,2.8,-29,48
"8","596",139.34843,-35.71437,29.1,21.6,14.1,138,97,32.4,24.8,17.2,103,146,3.3,3,2.8,-29,48
"9","597",139.32372,-35.34268,28.8,21.4,14,142,92,32,24.5,16.9,110,141,3.3,3,2.7,-27,47
"10","604",139.3419,-35.42699,28.9,21.7,14.5,131,91,32.1,24.8,17.6,96,140,3.3,3,2.6,-30,47
"11","606",139.16609,-35.65685,29,21.8,14.6,384,91,32.3,24.9,17.5,295,140,3.3,3,2.8,-28,46
"12","609",139.19153,-35.30672,28.8,21.8,14.8,344,89,32,24.9,17.7,260,138,3.3,3,2.7,-29,47
"13","613",139.31425,-35.52495,29,22.1,15.2,153,95,32.3,25.2,18.1,113,146,3.3,3,2.6,-30,50
"14","623",139.35004,-35.68371,29,21.9,14.8,379,92,32.3,25.1,17.8,292,141,3.3,3.1,2.8,-30,47
"15","626",139.26392,-35.75927,29.1,22.1,15.1,358,93,32.4,25.2,17.9,270,143,3.3,3,2.6,-29,48
"16","628",139.37336,-35.57629,29,22.1,15.2,153,95,32.3,25.2,18.1,113,146,3.3,3,2.6,-30,50
"17","632",138.94337,-35.45021,28.9,21.7,14.4,130,91,32.2,24.9,17.5,96,141,3.3,3.1,2.8,-30,47
"18","635",139.32398,-35.76015,29.1,21.6,14.1,138,97,32.4,24.8,17.2,103,146,3.3,3,2.8,-29,48
"19","636",139.3316,-35.54338,29,22.1,15.2,153,95,32.3,25.2,18.1,113,146,3.3,3,2.6,-30,50
"20","637",138.92414,-35.45418,28.9,21.7,14.4,130,91,32.2,24.9,17.5,96,141,3.3,3.1,2.8,-30,47
"21","638",139.3487,-35.68561,29,21.9,14.8,379,92,32.3,25.1,17.8,292,141,3.3,3.1,2.8,-30,47
"22","640",139.09639,-35.57224,29,22.1,15.1,143,94,32.3,25.1,18,107,145,3.3,3,2.6,-29,49
"23","641",139.14932,-35.56008,29,22.1,15.2,147,96,32.4,25.2,18.1,109,147,3.3,3,2.6,-30,49
"24","645",139.17605,-35.69405,29,21.8,14.6,384,91,32.3,24.9,17.5,295,140,3.3,3,2.8,-28,46
"25","650",139.35941,-35.35569,28.8,21.4,14,142,92,32,24.5,16.9,110,141,3.3,3,2.7,-27,47
"26","654",138.86613,-35.52419,29,22,15.1,140,94,32.3,25.1,17.9,103,144,3.3,2.9,2.5,-30,48
"27","655",138.9659,-35.50241,29,22.1,15.1,142,95,32.3,25.1,18,104,145,3.3,3,2.6,-30,49
"28","660",138.88403,-35.44241,28.9,21.6,14.3,135,91,32.1,24.8,17.5,101,140,3.3,3.1,2.8,-30,48
"29","663",139.10959,-35.65015,29,21.8,14.6,384,91,32.3,24.9,17.5,295,140,3.3,3,2.8,-28,46
"30","664",139.24605,-35.55354,29,22.2,15.3,153,96,32.4,25.3,18.2,109,148,3.4,3,2.7,-31,50
"31","679",139.33461,-35.54215,29,22.1,15.2,153,95,32.3,25.2,18.1,113,146,3.3,3,2.6,-30,50
"32","488",138.86613,-35.3452,28.8,21.8,14.8,343,88,32,24.9,17.8,259,138,3.3,3.1,2.9,-29,48
"33","479",138.91912,-35.45444,28.9,21.7,14.4,130,91,32.2,24.9,17.5,96,141,3.3,3.1,2.8,-30,47
"34","490",138.79451,-35.30742,28.8,21.9,15,348,88,32.1,25,18,262,137,3.3,3.1,2.9,-30,47
"35","470",139.35403,-35.68504,29,21.9,14.8,379,92,32.3,25.1,17.8,292,141,3.3,3.1,2.8,-30,47
"36","528",139.37724,-35.74277,29.1,21.6,14.1,138,97,32.4,24.8,17.2,103,146,3.3,3,2.8,-29,48
"37","526",139.34226,-35.54719,29,22.1,15.2,153,95,32.3,25.2,18.1,113,146,3.3,3,2.6,-30,50
"38","500",138.76388,-35.50705,29,22.1,15.1,140,95,32.3,25.1,18,104,145,3.3,3,2.6,-30,49
"39","532",139.15684,-35.5711,29,22.1,15.2,147,96,32.4,25.2,18.1,109,147,3.3,3,2.6,-30,49
"40","485",138.73556,-35.40646,28.9,21.6,14.2,139,91,32.1,24.7,17.4,103,140,3.3,3,2.8,-29,48
"41","493",138.82021,-35.3784,28.8,21.8,14.8,343,88,32,24.9,17.8,259,138,3.3,3.1,2.9,-29,48
"42","533",139.15961,-35.59589,29,22.1,15.2,147,96,32.4,25.2,18.1,109,147,3.3,3,2.6,-30,49
"43","524",139.34269,-35.53456,29,22.1,15.2,153,95,32.3,25.2,18.1,113,146,3.3,3,2.6,-30,50
"44","476",139.42078,-35.30761,28.8,21.4,13.9,146,92,32.1,24.5,16.9,112,141,3.3,3,2.7,-27,47
"45","466",139.45044,-35.35807,28.8,21.4,13.9,146,92,32.1,24.5,16.9,112,141,3.3,3,2.7,-27,47
"46","482",138.93301,-35.3937,28.8,21.9,15,345,88,32,25,18,263,137,3.3,3.1,2.9,-29,47
"47","480",138.9645,-35.38335,28.8,21.9,15,345,88,32,25,18,263,137,3.3,3.1,2.9,-29,47
